;1y;2y;3y;4y;5y;6y;7y;8y;9y;10y;11y;12y;13y;14y;15y;16y;17y;18y;19y;20y;21y;22y;23y;24y;25y;26y;27y;28y;29y;30y
1y;0.002616;0.003250;0.003815;0.004314;0.004680;0.004952;0.005184;0.005402;0.005517;0.005600;0.005645;0.005689;0.005734;0.005778;0.005823;0.005829;0.005835;0.005840;0.005846;0.005852;0.005849;0.005846;0.005843;0.005840;0.005837;0.005834;0.005831;0.005829;0.005826;0.005823
2y;0.003854;0.004330;0.004721;0.005025;0.005265;0.005490;0.005665;0.005798;0.005898;0.005971;0.005986;0.006001;0.006015;0.006030;0.006045;0.006048;0.006051;0.006055;0.006058;0.006061;0.006052;0.006043;0.006034;0.006025;0.006016;0.006007;0.005998;0.005988;0.005979;0.005970
3y;0.005056;0.005267;0.005467;0.005646;0.005804;0.005945;0.006063;0.006157;0.006232;0.006286;0.006265;0.006245;0.006224;0.006204;0.006183;0.006172;0.006161;0.006150;0.006139;0.006128;0.006117;0.006106;0.006096;0.006085;0.006074;0.006063;0.006052;0.006041;0.006030;0.006019
4y;0.005769;0.005888;0.005966;0.006093;0.006178;0.006262;0.006337;0.006401;0.006449;0.006483;0.006435;0.006388;0.006341;0.006293;0.006246;0.006226;0.006205;0.006185;0.006165;0.006145;0.006128;0.006111;0.006093;0.006076;0.006059;0.006049;0.006040;0.006030;0.006021;0.006011
5y;0.006213;0.006256;0.006311;0.006371;0.006430;0.006484;0.006533;0.006575;0.006606;0.006622;0.006556;0.006491;0.006426;0.006361;0.006296;0.006262;0.006227;0.006193;0.006158;0.006124;0.006101;0.006078;0.006056;0.006033;0.006010;0.006000;0.005989;0.005979;0.005969;0.005958
6y;0.006436;0.006469;0.006501;0.006532;0.006559;0.006591;0.006620;0.006643;0.006658;0.006659;0.006577;0.006495;0.006414;0.006332;0.006250;0.006212;0.006173;0.006135;0.006096;0.006058;0.006032;0.006006;0.005981;0.005955;0.005929;0.005915;0.005901;0.005888;0.005874;0.005860
7y;0.006628;0.006663;0.006679;0.006680;0.006678;0.006689;0.006698;0.006706;0.006704;0.006692;0.006601;0.006510;0.006420;0.006329;0.006238;0.006190;0.006142;0.006095;0.006047;0.005999;0.005968;0.005937;0.005905;0.005874;0.005843;0.005829;0.005814;0.005800;0.005785;0.005771
8y;0.006641;0.006673;0.006694;0.006705;0.006708;0.006713;0.006712;0.006704;0.006687;0.006661;0.006566;0.006472;0.006377;0.006283;0.006188;0.006136;0.006085;0.006033;0.005982;0.005930;0.005897;0.005864;0.005832;0.005799;0.005766;0.005745;0.005724;0.005704;0.005683;0.005662
9y;0.006650;0.006681;0.006708;0.006724;0.006730;0.006730;0.006719;0.006700;0.006670;0.006630;0.006532;0.006434;0.006337;0.006239;0.006141;0.006086;0.006030;0.005975;0.005919;0.005864;0.005828;0.005792;0.005756;0.005720;0.005684;0.005659;0.005634;0.005610;0.005585;0.005560
10y;0.006658;0.006690;0.006713;0.006724;0.006723;0.006719;0.006705;0.006680;0.006645;0.006602;0.006500;0.006398;0.006296;0.006193;0.006091;0.006033;0.005976;0.005918;0.005860;0.005802;0.005763;0.005724;0.005685;0.005645;0.005606;0.005578;0.005549;0.005521;0.005493;0.005464
11y;0.006565;0.006597;0.006620;0.006633;0.006633;0.006631;0.006618;0.006594;0.006560;0.006516;0.006412;0.006308;0.006204;0.006100;0.005996;0.005934;0.005871;0.005809;0.005746;0.005683;0.005642;0.005601;0.005560;0.005519;0.005478;0.005448;0.005418;0.005388;0.005357;0.005327
12y;0.006472;0.006503;0.006527;0.006541;0.006543;0.006542;0.006530;0.006507;0.006474;0.006430;0.006325;0.006219;0.006113;0.006007;0.005901;0.005834;0.005766;0.005699;0.005632;0.005565;0.005522;0.005479;0.005436;0.005393;0.005351;0.005318;0.005286;0.005254;0.005222;0.005189
13y;0.006379;0.006410;0.006435;0.006450;0.006453;0.006453;0.006443;0.006421;0.006388;0.006345;0.006237;0.006129;0.006021;0.005914;0.005806;0.005734;0.005662;0.005590;0.005518;0.005446;0.005401;0.005357;0.005312;0.005267;0.005223;0.005189;0.005154;0.005120;0.005086;0.005052
14y;0.006286;0.006316;0.006341;0.006358;0.006363;0.006364;0.006355;0.006334;0.006302;0.006258;0.006149;0.006039;0.005930;0.005820;0.005711;0.005634;0.005557;0.005480;0.005403;0.005327;0.005280;0.005234;0.005187;0.005141;0.005095;0.005058;0.005022;0.004986;0.004950;0.004914
15y;0.006193;0.006223;0.006249;0.006267;0.006272;0.006275;0.006267;0.006247;0.006216;0.006172;0.006061;0.005950;0.005838;0.005727;0.005616;0.005534;0.005452;0.005371;0.005289;0.005208;0.005159;0.005111;0.005063;0.005015;0.004967;0.004929;0.004891;0.004853;0.004815;0.004777
